legal_name,purpose
DEMED UG (haftungsbeschränkt),das Betreiben von Onlineshops und Dropshipping von Produkten.
IMAGE Görries Jeans- u. Sportswear GmbH,"Handel mit Textilien und Schuhen, insbesondere der Verkauf von Jeans, Sportswear, Freizeitmode und Accessoires schwerpunktmäßig in der Filiale Sieben- Seen-Center in Schwerin OT Görries."
Walczak Verwaltungs GmbH,"Übernahme der persönlichen Haftung und Geschäftsführung bei Handelsgesellschaften, insbesondere die Beteiligung als persönlich haftende geschäftsführende Gesellschafterin an der Walczak Warenautomaten GmbH & Co. KG, welche den Betrieb von Warenautomaten und Heißgetränkeautomaten, Service und Verkauf von Waren- und Getränkeautomaten sowie den Handel mit Lebensmitteln und Süßwaren aller Art zum Gegenstand hat."
Mash Fun GmbH,"Die Errichtung von Spielstätten, gastronomischen Betrieben, Internet-Cafés mit und ohne Alkoholausschank, der Groß- und Einzelhandel sowie die Aufstellung und Vermietung von Geldspielautomaten, Unterhaltungsautomaten, Internetterminals und Warenautomaten sowie deren Betrieb und deren Vermietung und Verpachtung nach erteilter Erlaubnis."
SG Hamburg Holsten Quartiere 2 UG (haftungsbeschränkt),"Das Erwerben, das Halten und das Verwalten von Grundbesitz."
kröger construct - instruct gmbh,"die Übernahme von Handelsvertretungen für Materialien und/oder Systemen auf den Gebieten der Außen- und Innenanwendung im Hochbau sowie des Garten- und Landschaftsbaues, ferner die Beratung von Unternehmen"
"Forstbaumschulen ""Fürst Pückler"" Zeischa GmbH",Anzucht und Verkauf von Baumschulgehölzen aller Art; Verwaltung eigenen Vermögens durch Anlage und Verpachtung; Ausführung von land- und forstwirtschaftlichen Dienstleistungen
Energietechnik Podersaunig GmbH,"Vertrieb, Planung und Installation von energietechnischen Komponenten und Anlagen"
S-E-D-N GmbH,Erbringung von Dienstleistungen jeglicher Art im Bereich der Informations- und Telekommunikationstechnologie sowie der Handel damit im Zusammenhang stehender Produkte und Artikel.
Cartelier 22 GmbH,"Groß- und Einzelhandel mit Bildern, Grafiken, Gemälden und Kunstgegenständen aller Art sowie Rahmen; außerdem Handel mit immateriellen Rechten wie beispielsweise Urheberrechten etc. sowie alle damit zusammenhängende Tätigkeiten, ferner Restaurierungsarbeiten und Rahmungen und Betreiben von Galerien. Darüber hinaus Handel mit Fahrzeugen aller Art, insbesondere mit Gebrauchtwagen, Halbjahres- und Jahreswagen sowie deren Im- und Export wie auch Vermittlung vorgenannter Geschäfte. Ferner Vermittlung von Versicherungen und Leasing sowie Betreiben eines Autoverleihs sowie Durchführung von Pflegediensten und Fahrzeugkomplettreinigungen."
City Verwaltungs- und Wohnbaugesellschaft mbH,"Ankauf, Errichtung, Sanierung, Besitz und Verwaltung von Mehrfamilienwohnhäusern."
Zebra Garden Süd GmbH,"Der Import und Vertrieb sowie die Werksvertretung von Gartenmöbeln, Zubehör sowie Saisonartikeln (Gebrauchsgüter des Haus- und Gartenbedarfs). Die Übernahme von Handelsvertretungen."
"Gebrüder Huhn,Gesellschaft mit beschränkter Haftung.","Die Übernahme der Rechtsstellung einer persönlich haftenden Gesellschafterin bei der Kommanditgesellschaft in Firma Heinrich Huhn GmbH + Co. KG mit dem Sitz in Drolshagen, deren Gegenstand der Betrieb eines Stanz-, Press- und Schweißwerkes ist."
Botts Verwaltungs GmbH,"Erwerb, Halten, Verwalten, Verwerten von Beteiligungen und Vermögensanlagen in eigenem Namen und auf eigene Rechnung sowie Erbringen von Dienstleistungen im Zusammenhang damit. Im Übrigen übernimmt die Gesellschaft die unbeschränkte Haftung in Personengesellschaften mit ähnlichem Gesellschaftszweck. Die Gesellschaft übt keine nach § 34 c Gewerbeordnung erlaubnispflichtige Tätigkeit aus."
DS-Rendite-Fonds Nr. 129 GmbH,"Gegenstand des Unternehmens ist die Beteiligung als persönlich haftende Gesellschafterin an der Kommanditgesellschaft unter der Firma DS- Rendite-Fonds Nr. 129 Flugzeugfonds IV GmbH & Co. KG mit dem Sitz in Dortmund. Gegenstand dieser Kommanditgesellschaft sind der Erwerb, das Halten und das Verleasen eines Passagierflugzeuges im internationalen Luftverkehr."
Restaurant Alexander UG (haftungsbeschränkt),Betrieb eines Restaurants
"""Spiel & Spaß Verwaltungs GmbH""","Die Beteiligung als persönlich haftende, geschäftsführende Gesellschafterin an einer Gesellschaft, die den Vertrieb von Videospielen zum Gegenstand hat."
solarea GmbH,die Akquise von Potenzialflächen für Erneuerbare Energien in Europa sowie die Beratungsdienstleistungen zur Findung von Potenzialflächen für Erneuerbare Energien in Europa.
OGVIT Verwaltungs-GmbH,"Erwerb und die Verwaltung von Beteiligungen an Handelsgesellschaften sowie die Übernahme der persönlichen Haftung und Geschäftsführung bei diesen, insbesondere die Beteiligung als persönlich haftende geschäftsführende Gesellschafterin an der OGVIT GmbH & Co. KG in Paderborn, deren Gegenstand die Implementierung von e- commerce Lösungen im Internet und der Vertrieb von Waren und Dienstleistungen über das Internet, sowie alle mit dem vorstehend beschriebenen Gegenstand in Zusammenhang stehenden oder ihm dienenden Geschäfte oder Handlungen ist"
FIVE Investments GmbH,der Erwerb und das Halten von Beteiligungen sowie die Verwaltung eigenen Vermögens
rh Construction GmbH,"die Verlegung von Bodenbelägen, Fliesenverlegung, Trockenbau, Innenausbau, Wandgestaltung, Maler- und Tapezierarbeiten, Altbausanierung, Balkonsanierung, Umbauarbeiten an Gebäuden und Gartengestaltung."
Trend Toys Vertriebs GmbH,"Groß- & Einzelhandel mit Spielwaren, Computern, Sonderposten, Textilien, Schreibwaren, auch im Internet."
carlotta UG (haftungsbeschränkt),"Der Betrieb von Apps/Internetseiten, IT- Dienstleistungen, Beratung."
B.V.L. UG (haftungsbeschränkt),Die Vermittlung von beruflicher Aus- und Weiterbildung.
sologico GmbH,Marketing- und Vertriebsdienstleistungen für die sologico AG in Zug.
Burhenne Grundbesitz GmbH,"der An- und Verkauf von bebauten und unbebauten Grundstücken, wozu auch Wohnungs- und Teileigentum sowie Erbbaurechte und Wohnungserbbaurechte zählen, ferner die Vermietung und Verpachtung von Grundeigentum aller Art. Gegenstand des Unternehmens ist überdies die Übernahme der Verwaltung und Geschäftsführung anderer Gesellschaften mit dem gleichen Unternehmensgegenstand mit oder ohne kapitalmäßige Beteiligung an diesen Gesellschaften."
Atelier Zillich Kunststoffverarbeitung & Werbemittel GmbH Dipl.-Chem. Stephan Weber,"Kunststoffverarbeitung, Herstellung und Vertrieb von Werbemitteln."
ARZ Zeid UG (haftungsbeschränkt),Das Betreiben eines mexikanischen Restaurants in Treuenbrietzen.
ehaus clever bauen GmbH,"Die Vorbereitung, die Entwicklung und die Betreuung von Projekten für Wohnungsund Gewerbebau im eigenen Namen und/oder für fremde Rechnung (Bauträgerschaft), ferner alle § 34 c) der Gewerbeordnung unterfallenden Tätigkeiten, insbesondere: die Vermittlung von Verträgen über Grundstücke, grundstücksgleiche Rechte, gewerbliche Räume und Wohnräume, die Vorbereitung und Durchführung von Bauvorhaben als Bauherr im eigenen Namen für eigene oder fremde Rechnung, und die Vorbereitung und Durchführung von Bauvorhaben als Baubetreuer im fremden Namen für fremde Rechnung, sowie der Erwerb und die Veräußerung von Grundstücken und Gebäuden und deren Vermittlung. Die Gesellschaft vermittelt Leistungen, für die eine Gestattung nach der Handwerksordnung notwendig ist, sie führt sie nicht selbst durch."
Anton Wiesheu Verwaltungs-GmbH,"Erwerb und Verwaltung von Beteiligungen aller Art sowie Übernahme der persönlichen Haftung und Geschäftsführung bei Personenhandelsgesellschaften, insbesondere Beteiligung als persönlich haftende Gesellschafterin an der Anton Wiesheu GmbH & Co. KG, deren Gegenstand die Verwaltung eigenen Vermögens sowie Erwerb, Bebauung, Vermietung, Verpachtung und Veräußerung von Grundstücken ist, soweit dazu nicht eine Genehmigung nach § 34 c GewO erforderlich ist."
Bitreal GmbH,"Erwerb, Veräußerung und Halten und Verwalten von Immobilien und grundstücksgleichen Rechten und allen damit im Zusammenhang stehenden Tätigkeiten. Hiervon ausgenommen sind erlaubnispflichtige Tätigkeiten."
DOZEM Consulting & Trading GmbH,"die Beratung beim Handel mit Rohstoffen und Chemikalien, Firmenberatung, der Import, Export und der Vertrieb von Waren bzw. Gütern verschiedener Art, insbesondere von Genuss und Lebensmitteln, Elektrowaren, Telekommunikationsgeräten und sonstigen elektronischen Produkten, sowie Schulungen, Weiterbildungen, Projektmanagement und Beratung für die vorgenannten Produkte."
Consilcom GmbH,"Gegenstand des Unternehmens ist: Coaching, Training, psychotherapeutische Praxis, Bare Boat Charter im Rahmen von Verhaltenstraining, Persönlichkeitsentwicklung, Schiffscharter, ferner Teilnahme an Fotoshootings sowie jedwede Maßnahmen zur Förderung der interkulturellen Kommunikation und die Mediation."
Becker-Bau-Consult GmbH,"Erstellung von bautechnischen Nachweisen, die Bauablaufplanung, Bauüberwachungen und sonstige Ingenieurleistungen im Bereich des Bauwesen."
DEMDA Verwaltungs GmbH,Die Übernahme der persönlichen Haftung der DEMDA Deutsche Mieter Datenbank GmbH & Co. KG und deren Geschäftsführung.
normotyp Formularverlag GmbH,Das Verlegen und der Vertrieb von genormten Geschäftsformularen sowie die Durchführung aller damit verbundenen Tätigkeiten und Geschäfte.
PWT Service GmbH,"Vertrieb sowie Lieferung und Montage von Armaturen und maschinellen Einrichtungen für die Lebensmittel- und Getränkeindustrie, die chemische und sonstige Industrie inklusive sämtlicher Serviceleistungen sowie alle sich hieraus ergebenden Hilfsund Nebengeschäfte."
Primeware Vertriebs-GmbH,"Handel mit Waren aller Art, insbesondere der Vertrieb von Keramik -Produkten der Marke ""Primeware"" und ähnlichem."
SHV Gas Germany GmbH,"der Erwerb, die Gründung, die Veräußerung und das Halten von Unternehmen und Beteiligungen, insbesondere einer Beteiligung an der Primagas GmbH mit Sitz in Krefeld, sowie der Abschluss von Unternehmensverträgen."
Perfekta Immobilien- und Finanzierungsvermittlungsgesellschaft mbH,Die Vermittlung von Finanzierungen und Versicherungen aller Art sowie die Vermittlung von Grundstücken aller Art und Mietobjekten
GEFA Gestaltungsfabrik GmbH Werbung,Ausführung von DTP-Produktionen (Desktop Publishing) und Werbemaß- nahmen aller Art.
Einspeisegesellschaft Damlos mbH,"die Vermarktung von elektrischer Energie, die durch die Windenergieanlagen der Gesellschafter in der Gemeinde Damlos erzeugt wird."
Scheffold & Ullrich GmbH,"Wohnungs- und Firmenauflösung mit Entrümpelung, sowie die Verwertung der Gegenstände daraus und die Erbringung von Handwerksdienstleistungen."
TK Transporte Kariofillis UG (haftungsbeschränkt),Erbringung von Transport- und Kurierdienstleistungen.
Therapiebad im Holthues Hoff UG (haftungsbeschränkt),"Erbringung von Dienstleistungen im Bereich von Schwimmschulen sowie Rehasport, Aquasport und ähnliche Dienstleitungen"
P&P Agrarservice GmbH,"Erbringung von Dienstleistungen im Bereich Agrarservice und Handel mit landwirtschaftlichen Produkten und Maschinen, Erstellung und Bereitstellung des Zugriffs von Internetsuchmaschinen und Internetshops und von Lern-, Spiel-, und Lizenzhandelssystemen, Unternehmensberatung sowie Crossmedialeistungen in allen Bereichen, sowie SEO (Suchmaschinenoptimierung) und SEM (Suchmaschinenmarketing) Dienste, desweiteren Handel mit Edelmetallen und anderen nicht genehmigungspflichtigen Waren."
Beton -Trans - GmbH,"- Die Übernahme der Geschäftsführung an Unternehmen des Transportbetongewerbes, - der Transport und Vertrieb von Baustoffen sowie die Förderung von Transportbeton mittels Pumpen ebenso der Betrieb anderer den gemeinsamen Interessen der Gesellschafter dienenden und zur Erreichung ihres wirtschaftlichen Zweckes erforderlichen Geschäfte, - der Transport von Beton erfolgt im Güternahverkehr."
btg beteiligungsgesellschaft mbh,"Haben, Halten und Verwalten einer Beteiligung an der NILES-SIMMONS- HEGENSCHEIDT GmbH oder auch an anderen Gesellschaften."
Expert Plus Leasing GmbH,"Der Abschluss, die Abwicklung und die Vermittlung von Leasingverträgen aller Art sowie der An- und Verkauf von Leasinggegenständen."
Blähtonfertigteilwerk GmbH Neubrandenburg,Herstellung und der Vertrieb von Betonfertigteilen
Hansa Gewerbepark GmbH,Die Verwaltung von Immobilien.
isc integrated software concepts AG,"Die Erstellung, der Vertrieb und die Wartung von Software, Software- und Organisationskonzepten, sowie die Schulung zu Softwaresystemen und die Beratung in Softwaretechnologien."
steuer21.de UG (haftungsbeschränkt),"Der Betrieb einer Internetseite unter dem Namen www.steuer21.de, das Anbieten von Informationen und das Anbieten von Fort- und Weiterbildungsmaßnahmen, das Halten und Verwerten von Markenrechten sowie alle damit im Zusammenhang stehenden Geschäfte."
Paul Weiß Bauunternehmung Gesellschaft mit beschränkter Haftung,"Betrieb einer Bauunternehmung für Hochund Tiefbau, insbesondere die Fortführung des Geschäftsbetriebs der Firma Paul Weiß KG. Bauunternehmung mit dem Sitz in Nürnberg."
CHAMPLASTIQUE GESCHÄFTSFÜHRUNGS-GMBH,"Die Beteiligung an anderen Unternehmen, insbesondere die Beteiligung an der Firma: CHAMPLASTIQUE HOLDING GMBH & CO KG als persönlich haftende Gesellschafterin und die Übernahme der Geschäftsführung dieser Gesellschaft."
HaPa Logistik GmbH,Betrieb eines Speditions- und Logistikunternehmens insbesondere im Bereich der Möbelbranche.
Hartig GmbH,"der Einzelhandel mit Schuhen, Lederwaren und Bekleidung. Die Gesellschaft kann Freizeiteinrichtungen führen oder ein Hotel und Restaurant betreiben."
Nothnagel + Ellinger GmbH,Ist die Beteiligung an anderen Wirtschaftsunternehmen und die Übernahme ihrer Geschäftsführung.
Geißendörfer Film- und Fernseh-Produktion GmbH,"die Film- und Fernsehproduktion, die Durchführung von Filmgeschäften im Inund Ausland sowie die Durchführung aller damit in Zusammenhang stehenden Geschäfte. Die Herstellung und Vertrieb von Bild- und Tonträgern, das Betreiben von Verlagsgeschäften aller Art (Buch-, Musik-, Zeitschriften-Verlag) sowie die Verwertung von Bühnen-, Film- und Musikrechten. Die Verwaltung und Verwertung von Urheberrechten, gewerblichen Schutzrechten und Rechtspositionen durch Geschäfte jeglicher Art, wie etwa die Herstellung von Vertrieb der sich aus der Film- und Fernsehproduktion ergebenden ergänzenden Produkte, wie Freizeitwaren, Alltagsartikel und Ähnlichem."
Einundzwanzigste Vermögensverwaltungsgesellschaft Dillingen mbH,"Die Verwaltung von Vermögen, insbesondere von Beteiligungen an anderen Gesellschaften. Ausgeschlossen sind jedoch Bankgeschäfte."
Sieg Consulting & Services GmbH,Dienstleistungen für Unternehmen im Bereich des Personalaustausches
Sassenscheidt Verwaltungs GmbH,Die Beteiligung an der Sassenscheidt GmbH & Co. KG als Komplementärin.
DJB Portfolio Chemnitz GmbH,"Halten und Verwalten von Beteiligungen an anderen Unternehmen sowie Verwaltung eigenen Vermögens und betriebswirtschaftliche Finanzberatung, allgemeine Unternehmensberatung, Beratung bei der Akquisition von Beteiligungen an ganzen Unternehmen sowie Unternehmensteilen, Vermittlung bei der Akquisition von Beteiligungen an ganzen Unternehmen sowie Unternehmensteilen und Recherche und Vermittlung von Investoren und strategischen Partnern. An- und Verkauf von Grundstücken und grundstücksgleichen Rechten, deren Verwertung und Verwaltung sowie Errichtung von Bauvorhaben aller Art und deren Sanierung, insbesondere von Wohngebäuden, im eigenen Namen oder für fremde Rechnung. Eine genehmigungspflichtige Beratungstätigkeit (insbesondere in Rechts- oder Steuerangelegenheiten) ist nicht Gegenstand des Unternehmens."
CM CityClass Hotel Atrium Verwaltungs- GmbH,Der Erwerb und die Verwaltung von Beteiligungen sowie die Übernahme der persönlichen Haftung und der Geschäftsführung bei Personengesellschaften insbesondere die Beteiligung als persönlich haftende Gesellschafterin an der CM CityClass Hotel Atrium GmbH & Co. KG.
Kang Express Logistics GmbH,"Transportdienstleistungen, Fahrzeugüberführungen, Autohandel, Autoservice"
TAB Grundstücksverwaltungsgesellschaft mbH,"Erwerb von Grundstücken, die Errichtung von Baulichkeiten und die Verwaltung von eigenen Grundstücken und eigenen Baulichkeiten"
Selling Points GmbH,"Konzeption und Durchführung von Marketing- und Public-Relations- Maßnahmen aller Art, Promotion (Werbung und Verkaufsförderung) sowie alle damit zusammenhängenden und den Gesellschaftszweck fördernden Geschäfte."
Johann Schulte GmbH,"Der Betrieb eines landwirtschaftlichen Lohnunternehmens, eines Landschaftsbauunternehmens und die Ausführung von Transporten im Nahverkehr. Die Gesellschaft ist berechtigt, sich an Unternehmen gleicher Art und solchen Unternehmen, die ihren Zweck zu fördern geeignet sind zu beteiligen. Die Gesellschaft ist berechtigt, alle Geschäfte vorzunehmen und alle Maßnahmen zu ergreifen, die mit dem Gegenstand des Unternehmens zusammenhängen und ihm unmittelbar oder mittelbar förderlich erscheinen, mit Ausnahme von Bankgeschäften im Sinne des § 1 des Gesetzes über das Kreditwesen. Die Gesellschaft ist berechtigt, Zweigniederlassungen zu gründen. Die Gesellschaft ist berechtigt, die Stellung einer persönlich haftenden Gesellschafterin zu übernehmen."
Swenne Großküchentechnik + Service GmbH,die Instandsetzung und der Verkauf von Großkücheneinrichtungen.
Strandhotel Villa Verdi GmbH,Betrieb des Hotels Villa Verdi in Kühlungsborn
ANGS Transport Dienstleistungen UG (haftungsbeschränkt),die Durchführung von Kurierdiensten.
AGS Andreas Gruber Software GmbH,"Die Entwicklung von Software, der Vertrieb eigener und fremder Software, der dazugehörigen Datenverarbeitungsgeräte sowie kompletter Systeme, Kundenberatung auf diesem Gebiet sowie Schulungs- und Fortbildungsmaßnahmen."
Atelier Dipl. Ing. A. Schauder GmbH,"Erstellung von Projektunterlagen, Baubetreuung, die Durchführung von Baumaßnahmen, An- und Verkauf sowie Verwaltung für Immobilien, Bauträgertätigkelt sowie künstlerische Arbeiten"
STRAKAT GmbH Software und Dienstleistungen für Straßen- und Wasserwirtschaft,Herstellung von Software sowie Dienstleistungen im Bereich des Straßenbaues und der Siedlungswasserwirtschaft.
DIS Immobilienverwaltung GmbH,"Vermietung und Verwaltung von Immobilien, unbebauten Grundstücken und grundstücksgleichen Rechten"
"HBF GmbH, Finanz- und Versicherungsmakler","Tätigkeiten, der gem. § 34c GO erteilten Erlaubnis. Hierzu gehört insbesondere die Vermittlung von Finanzierungen und Versicherungen sowie ähnliche Geschäfte, die dem Gesellschaftszweck dienlich sind."
TIGRES Dr. Gerstenberg GmbH,Industrielle Herstellung sowie Vertrieb von Anlagen zur Oberflächenmodifikation von Werkstücken.
INSTO Gesellschaft für Ärztefortbildung und -organisation mbH,"Gegenstand des Unternehmens ist die Planung und Ausführung von Veranstaltungen zur Fortbildung im Sektor Medizin, Marketing, und Beratung im medizinischen Sektor sowie Handel mit Praxis- und Laborbedarf. Gegenstand des Unternehmens ist weiterhin die Anmietung und der Ankauf von Immobilien und deren Vermietung einschließlich der Vermietung von Praxis- und Laborausstattung, insbesondere an Ärzte."
Abwicklungsgesellschaft Ickes Bau GmbH,"Ausführung aller Arbeiten im Tief- und Hochbau, Rohrleitungsbau, Erdkabelbau, Gartenbau."
Bautechnik BTU UG (haftungsbeschränkt),"Ausführung von Industrieservice aller Art, Trockenbau, Abbrucharbeiten, Baustellenreinigung, Estrichlegerei, Einbau von genormten Fertigbauteilen (z.B. Fenster, Türen, Zargen, Regale), Fliesen-, Platten- und Mosaiklegehandwerk, Fugergewerbe, Holz- und Bautenschutz, Kleben und Überstreichen von Rauhfasertapete, Gebäudereinigung, Hausmeisterservice ohne Durchführung von handwerklichen Tätigkeiten, Hausverwaltung"
Reinhold Schweig Brennstoffhandel Gesellschaft mit beschränkter Haftung,der Vertrieb von Brennstoffen aller Art im Groß- und Einzelhandel und der Vertrieb von Öltanks und Torf
Menü Service Klein Sanssouci UG (haftungsbeschränkt),Zubereitung von Speisen für Externe sowie Durchführung und Teilnahme an (Fest)Veranstaltungen
air-design GmbH air-gate,der An- und Verkauf von Luftschleiern und artverwandten Artikeln.
imc Test & Measurement GmbH,"Die Forschung, Entwicklung, Herstellung und der Vertrieb von Hard- und Software aller Art, insbesondere im Bereich Mess- und Automatisierungstechnik, sowie alle damit direkt oder indirekt zusammenhängenden Geschäfte"
SK Verwaltungs GmbH,"Übernahme und Verwaltung von Beteiligungen an Industrie- und Handelsunternehmen sowie die Geschäftsführung für solche Unternehmen, insbesondere die Beteiligung als persönlich haftender Gesellschafter an der Kommanditgesellschaft SK Dach & Bau GmbH & Co. KG mit dem Sitz in Meerane - nachstehend KG genannt -. Gegenstand des Unternehmens der KG ist die Durchführung von Dachdecker- und Dachklempnerarbeiten sowie Maurer- und Putzarbeiten."
CT Allround GmbH,"Genehmigungsfreie Transport von Gütern, Ausführung von Kurierdiensten, Hausmeistertätigkeiten, Hilfsdienstleistungen und Hilfsarbeiten im Baugewerbe, Bautrocknungsarbeiten und Bodenverlegearbeiten, Reinigung von Gebäuden und Fassaden, Aufstellen von Arbeits- und/oder Schutzgerüsten, der Vertrieb von Internetanschlüssen."
Bienen-Vermehrungs GmbH,Vermehren von Bienen
CBS - Cristall GmbH,"Gewerbliche Beratung auf technischem und wirtschaftlichem Gebiet für den Einsatz und Verwendung von Computern aller Art, Erstellung und Verkauf von Hardware und Software und damit in Zusammenhang stehenden Erwerbs- und Beratungs- und Verkaufsstätigkeiten, Im- und Export von Waren aller Art, insbesondere Weine aus Spanien, Ein- und Verkaufs-Beratungen, Erbringung von Managementleistungen und Organisationsmaßnahmen von Verkaufsbüros."
Maxx Capital UG (haftungsbeschränkt),"Das Halten und Verwalten eigenen Vermögens, insbesondere Gesellschaftsbeteiligungen."
moldmakers.de GmbH,"die Konstruktion, die Herstellung und der Vertrieb von Werkzeugen und Formen sowie die Beratung und Vermittlung in allen Bereichen der Formteilvorstufe (Teilentwicklung, Prototyping, Simulation, Konstruktion, Formenbau, Null- und Kleinserien)."
UTS Biogastechnik GmbH,"Projektierung und Vertrieb von Anlagen für alternative Bioenergie im Bereich des Umweltschutzes, insbesondere von Förderanlagen und Separatoren aller Art für industrielle und landwirtschaftliche Anwendungen."
NNR Immobilien GmbH,"Der Kauf und Verkauf von Immobilien, Verkauf und Handel von Forstprodukten sowie alle damit zusammenhängenden Dienstleistungen."
m2 Immobilien GmbH,"ist der Handel mit und die Verwertung von Immobilien jeder Art, einschließlich deren Vermietung und Verpachtung, ferner die Vermittlung von Immobiliengeschäften jeder Art."
Pressezustellservice Ulm/Neu-Ulm GmbH,"Zustellung von Presseerzeugnissen, insbesondere von Tageszeitungen, Anzeigenblättern und Werbeprospekten ferner die Durchführung von Werbeaktionen und sonstiger Vertriebsaufträge mit dem Schwerpunkt im Bereich der Städte Ulm/Neu-Ulm. Die Gesellschaft ist zur Errichtung von Zweigniederlassungen nicht befugt."
Thede & Neubauer GmbH,"1) Gegenstand des Unternehmens ist der Handel mit Rohholz, Holzartikeln, bearbeitetem Holz sowie der Handel mit Waren aller Art, als auch Agenturgeschäfte, soweit hierzu keine besonderen Genehmigungen erforderlich sind. Der Handel schließt den Im- und Export dieser Waren ein. 2) Die Gesellschaft ist zur Vornahme aller Geschäfte berechtigt, die den Gesellschaftszweck unmittelbar oder mittelbar zu fördern geignet sind. 3) Die Gesellschaft darf andere Unternehmen gleicher oder ähnlicher Art übernehmen, sich an ihnen beteiligen und ihre Geschäfte führen. Sie darf ferner Zweigniederlassungen in In- und Ausland errichten."
HFG Im- und Export Vertriebs GmbH,"Im- und Export mit Fleischerzeugnissen aller Art sowie Erwerb und Verwaltung von Beteiligungen sowie Übernahme der persönlichen Haftung und Geschäftsführung bei Handelsgesellschaften, insbesondere die Beteiligung als persönlich haftende geschäftsführende Gesellschafterin an Kommanditgesellschaften mit einem vergleichbaren Unternehmensgegenstand."
Rundum Meisterservice GmbH,"Der Handel, Vertieb und Montage von Bauteilen aller Art. Zudem die Führung eines Schreiner- und Elektrohandwerksbetriebes sowie der Reparaturservice und der Verleih von Werkzeugen und Maschinen sowie Schlüssel-Notdienst, die Dienstleistungen im EDV-Bereich und der Groß- und Einzelhandel von Hard- und Software. Darüber hinaus können alle anderen handwerklichen Gewerke, die den Zweck einer schlüsselfertigen Bauausführung dienen, durch Vergabe an Subunternehmer ausgeführt werden."
EURO TECHNOLOGY GmbH,die Herstellung und der Vertrieb von High- Tech Komponenten im Kommunikationsbereich und alle damit in Zusammenhang stehenden Tätigkeiten.
rengy GmbH,der Betrieb einer Crowdfunding Plattform.
Triviado Development GmbH,"Die Erbringung von IT-Dienstleistungen, insbesondere die Programmierung von Software."
Wüstholz Sonnenstrom GmbH,Der Betrieb von Photovoltaikanlagen und die Vermarktung des mit diesen Anlagen gewonnenen Stroms.
Procom GmbH,die Verwaltung eigener Vermögenswerte.
Pflegestation Winke-Klebing GmbH,der Betrieb eines Pflegeheims
Markus Reich Zimmerei Verwaltungs GmbH,"Gegenstand des Unternehmens ist die Führung der Geschäfte der Markus Reich Zimmerei GmbH & Co. KG als persönlich haftende Gesellschafterin sowie die Ausführung von Zimmerei-, Tischlerei-, Holzbau- und Dachdeckereiarbeiten, die Fertigung und der Handel mit Holzprodukten."
Jülicher Consult GmbH,die Erbringung von Leistungen auf dem Gebiet der Unternehmensberatung sowie der Erwerb und die Verwaltung von Beteiligungen sowie die Übernahme der persönlichen Haftung und der Geschäftsführung bei Handels- und Dienstleistungsgesellschaften.
Capitol Immobilien GmbH,"Erwerb und Veräußerung von Grundstücken und Immobilien, Vermietung und Verpachtung sowie Hausverwaltung, Vermittlung von Verträgen über Grundstücke, grundstücksgleiche Rechte, Wohnräume oder gewerbliche Räume als Immobilienmakler und wirtschaftliche Vorbereitung und Durchführung von Bauvorhaben als Bauträger oder Baubetreuer in fremdem Namen und auch für fremde Rechnung"
Isophon Glas GmbH,"Gegenstand des Unternehmens ist Herstellung und Vertrieb von Isolierglas, Glas- und Glasbauelementen aller Art. Die Gesellschaft kann alle Handlungen vornehmen, die ihren Zweck mittelbar oder unmittelbar förderlich sind. Sie kann sich insbesondere an anderer Unternehmen beteiligen, solche erwerben oder Zweigniederlassungen errichten."
TRODENT Labor- und Beteiligungsgesellschaft mbH,der Betrieb eines Dentallabors und sämtlicher hiermit verbundener Tätigkeiten sowie die Beteiligung an Gesellschaftern aller Art.
PROTINUS Projektentwicklung gGmbH,"a) die Durchführung von Maßnahmen nach dem Arbeitsförderungsgesetz, dem Bundessozialhilfegesetz und dem Kinderund Jugendhilfegesetz b) die Entwicklung und Erprobung von Modellen und Verfahren, die geeignet erscheinen, die Umsetzung erworbener Qualifikation in praktische Tätigkeit zu fördern c) die Durchführung von Maßnahmen der beruflichen Fortbildung und Umschulung d) die Zusammenarbeit mit Institutionen, die sich einem gleichen oder ähnlichen Gesellschaftszweck widmen bzw. diesen fördern."
Immofais GmbH,Die Verwaltung eigener Immobilien.
Dipl.-Ing. Dieter Kannengießer Architektur GmbH,"Die Übernahme von Aufträgen aller Art, die mit dem Berufsbild des Architekten verbunden sind."
business- u. reichtumscoaching GmbH,"Coaching, Seminare und Fortbildung im Bereich Persönlichkeitsentwicklung, Business und Finanzwissen sowie An- und Verkauf, Vermietung und Verpachtung sowie Verwertung und Verwaltung von Haus- und Grundbesitz national und international."
Elektrotechnik Bösing GmbH,die Planung und Installation von elektrischen Niederspannungsanlagen.
Acker+Mann UG (haftungsbeschränkt),"Das Kaufen, das Halten und das Verkaufen von Beteiligungen an Unternehmen im eigenen Namen und auf eigene Rechnung und nicht als Dienstleistung für Dritte, die Verwaltung eigenen Vermögens sowie die Erbringung von Online-/Offline-Dienstleistungen im Bereich Unternehmensberatung."
Nasuti Friseur GmbH,"Betrieb des Friseursalons ""Moda Capelli"" und Verkauf von Haarpflegeprodukten."
Siatras it-consulting GmbH,"EDV-Beratung, Internetdesign, Grafikdesign, Softwareentwicklung, Hardware Zertifizierung, Hardwarevertrieb."
